2026-09-08 08:48:13 | START | شروع جمع‌آوری - بازه 08:55 تا 12:30
2026-09-08 08:55:15 | OK | 23 نماد ذخیره شد
2026-09-08 09:15:17 | OK | 23 نماد ذخیره شد
2026-09-08 09:35:19 | OK | 23 نماد ذخیره شد
2026-09-08 09:55:19 | FAILED | دیتا خالی برگشت (raw خالی) - احتمال قطعی برق/اینترنت یا خرابی سرور
2026-09-08 10:15:30 | OK | 23 نماد ذخیره شد
2026-09-08 10:35:32 | OK | 23 نماد ذخیره شد
2026-09-08 10:55:32 | FAILED | دیتا خالی برگشت (raw خالی) - احتمال قطعی برق/اینترنت یا خرابی سرور
2026-09-08 11:15:34 | OK | 23 نماد ذخیره شد
2026-09-08 11:35:37 | OK | 23 نماد ذخیره شد
2026-09-08 11:55:37 | FAILED | دیتا خالی برگشت (raw خالی) - احتمال قطعی برق/اینترنت یا خرابی سرور
2026-09-08 12:15:39 | OK | 23 نماد ذخیره شد
2026-09-08 12:35:39 | END | ساعت پایان رسید - جمع‌آوری متوقف شد
2026-09-09 08:40:39 | START | شروع جمع‌آوری - بازه 08:55 تا 12:30
2026-09-09 08:55:11 | OK | 21 نماد ذخیره شد
2026-09-09 09:15:12 | OK | 21 نماد ذخیره شد
2026-09-09 09:35:13 | OK | 21 نماد ذخیره شد
2026-09-09 09:55:15 | OK | 22 نماد ذخیره شد
2026-09-09 10:15:16 | OK | 22 نماد ذخیره شد
2026-09-09 10:35:18 | OK | 22 نماد ذخیره شد
2026-09-09 10:55:20 | OK | 22 نماد ذخیره شد
2026-09-09 11:15:21 | OK | 22 نماد ذخیره شد
2026-09-09 11:35:22 | OK | 22 نماد ذخیره شد
2026-09-09 11:55:24 | OK | 22 نماد ذخیره شد
2026-09-09 12:15:26 | OK | 22 نماد ذخیره شد
2026-09-09 12:35:26 | END | ساعت پایان رسید - جمع‌آوری متوقف شد
2026-09-12 08:58:26 | START | شروع جمع‌آوری - بازه 08:55 تا 12:30
2026-09-12 08:58:27 | OK | 21 نماد ذخیره شد
2026-09-12 08:59:43 | START | شروع جمع‌آوری - بازه 08:55 تا 12:30
2026-09-12 08:59:45 | OK | 21 نماد ذخیره شد
2026-09-12 09:00:08 | START | شروع جمع‌آوری - بازه 08:55 تا 12:30
2026-09-12 09:00:10 | OK | 21 نماد ذخیره شد
2026-09-12 09:19:46 | OK | 21 نماد ذخیره شد
2026-09-12 09:20:10 | OK | 21 نماد ذخیره شد
2026-09-12 09:39:46 | OK | 21 نماد ذخیره شد
2026-09-12 09:40:11 | OK | 21 نماد ذخیره شد
2026-09-12 09:59:48 | OK | 22 نماد ذخیره شد
2026-09-12 10:00:13 | OK | 22 نماد ذخیره شد
2026-09-12 10:19:49 | OK | 22 نماد ذخیره شد
2026-09-12 10:20:14 | OK | 22 نماد ذخیره شد
2026-09-12 10:39:51 | OK | 22 نماد ذخیره شد
2026-09-12 10:40:16 | OK | 22 نماد ذخیره شد
2026-09-12 10:59:53 | OK | 22 نماد ذخیره شد
2026-09-12 11:00:18 | OK | 22 نماد ذخیره شد
2026-09-12 11:19:54 | OK | 22 نماد ذخیره شد
2026-09-12 11:20:20 | OK | 22 نماد ذخیره شد
2026-09-12 11:39:55 | OK | 22 نماد ذخیره شد
2026-09-12 11:40:27 | OK | 22 نماد ذخیره شد
2026-09-12 11:59:56 | OK | 22 نماد ذخیره شد
2026-09-12 12:00:28 | OK | 22 نماد ذخیره شد
2026-09-12 12:19:57 | OK | 22 نماد ذخیره شد
2026-09-12 12:20:30 | OK | 22 نماد ذخیره شد
2026-09-13 08:51:07 | START | شروع جمع‌آوری - بازه 08:55 تا 12:30
2026-09-13 08:55:08 | OK | 21 نماد ذخیره شد
2026-09-13 09:15:10 | OK | 21 نماد ذخیره شد
2026-09-13 09:35:10 | OK | 21 نماد ذخیره شد
2026-09-13 09:55:11 | OK | 21 نماد ذخیره شد
2026-09-13 10:15:13 | OK | 21 نماد ذخیره شد
2026-09-13 10:35:14 | OK | 21 نماد ذخیره شد
2026-09-13 10:55:15 | OK | 21 نماد ذخیره شد
2026-09-13 11:15:17 | OK | 21 نماد ذخیره شد
2026-09-13 11:35:29 | OK | 21 نماد ذخیره شد
2026-09-13 11:55:30 | OK | 21 نماد ذخیره شد
